JOB_NAME;SALARY;POSTED_DATE_AT;DESCRIPTION;SOURCE_PICTURE
Nhân Viên Kế Toán Thuế (Không Yêu Cầu Kinh Nghiệm);9 - 11 triệu;07/03/2024;- Thực hiện kiểm soát hợp đồng, hóa đơn mua vào, bán ra và ghi sổ kế toán, lập các báo cáo thuế theo định kỳ. - Thực hiện các công việc khác theo sự phân công của trưởng bộ phận;https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5da17eeec67cb_1570864878.jpg
Kế Toán Bán Hàng;8 - 12 triệu;08/03/2024;-Soạn thảo chứng từ liên quan đến bán hàng. -Phụ trách công nợ. -Theo dõi tiến trình bán hàng hoá và dịch vụ. -Làm việc tại: 17-19 Đường 37, Khu Đô Thị Vạn Phúc, P Hiệp Bình Phước, Quận Thủ Đức, TP Hồ Chí Minh.;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/0281e627fd6d756b7c7ad98545335d83_6232555_vieclam24h_1604038641.jpeg
Nhân Viên Kế Toán Tổng Hợp;13 - 17 triệu;05/03/2024;"Chịu trách nhiệm các công việc về kế toán, tài chính của Công ty bao gồm: Hạch toán và kiểm tra các nghiệp vụ phát sinh trong kỳ (doanh thu, chi phí, lương, khấu hao tài sản, ...) Đảm bảo sổ sách kế toán ghi nhận chính xác, phù hợp với chuẩn mực kế toán Việt Nam Tính toán và báo cáo giá sản xuất/ sản phẩm; thống kê thông tin về nguyên vật liệu, phụ liệu, chi phí vận chuyển, sản xuất dở dang Kiểm tra tình trạng xuất nhập tồn của hàng hoá, nguyên nhiên vật liệu Theo dõi các khoản tạm ứng, hoàn ứng, công nợ, các chứng từ kế toán nội bộ Thực hiện các báo cáo thuế, báo cáo tài chính định kì, tổng hợp và lập báo cáo về tình hình, hiệu quả tài chính, báo cáo gửi nhà đầu tư Hỗ trợ quản lý ngân sách Lưu trữ và bảo quản hồ sơ, chứng từ kế toán theo quy định của công ty Theo dõi chấm công, tính lương, BHXH cho nhân viên Các thủ tục hành chính khác. Các công việc khác theo sự phân công của cấp trên.";https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2014/05/12/1399870483_logo.png
Nhân Viên Thủ Kho;7 - 10 triệu;01/03/2024;"-Quản lý kho (thành phẩm, nguyên liệu). -Hướng dẫn và yêu cầu công nhân sắp xếp, bố trí nhà kho và hệ thống kho -Các nhân sự làm việc trong kho tuân thủ thực hiện về bảo hộ lao động theo yêu cầu; không đeo đồ trang sức hoặc đồ tương tự, không ăn, đồ uống, hút thuốc… tại trong kho. -Giám sát việc vệ sinh máy móc, thiết bị, công cụ, bóng đèn, rèm chắn côn trùng có tại kho. - Nhập nguyên liệu, vật tư, thiết bị, máy móc, phụ gia vào kho trên cơ sở đánh giá của các QC đã được phân công. - Kiểm tra các chứng từ yêu cầu xuất nguyên vật liệu phù hợp và xuất nguyên vật liệu cho bộ phận sản xuất theo đúng yêu cầu được phê duyệt.";https://cdn1.vieclam24h.vn/upload/files_cua_nguoi_dung/logo/2019/03/14/1552532213_untitled.png
Chuyên Viên Kế Toán Dịch Vụ - Không Yêu Cầu Kinh Nghiệm;7 - 10 triệu;28/02/2024;- Liên hệ khách hàng nhận chứng từ. - Làm sổ kế toán hàng tháng và đối chiếu với khách hàng. - Khai báo thuế hàng quý. - Khai báo quyết toán thuế năm và lập báo cáo tài chính năm. - Làm việc với cơ quan thuế khi có yêu cầu. - Báo cáo kết quả kinh doanh cho khách hàng. - Gặp gỡ khách hàng để giải trình, thu phí và hỗ trợ ...;https://cdn1.vieclam24h.vn/images/employer_avatar/2023/08/14/z4601734162757_788c5fcef140279764ed3e78fb1f117d_169198270461.jpg
Kế Toán Tổng Hợp (Thu Nhập 10 -12 Triệu);10 - 12 triệu;02/03/2024;- Hàng ngày Tổng hợp các nghiệp vụ kế toán, lên sổ sách kế toán bằng EXCEL và từ phần mềm MISA - Làm báo cáo thuế hàng tháng - Làm báo cáo tài chính năm. - Báo cáo kết quả Kinh doanh nội bộ hàng tháng - In sổ sách, lưu trữ chứng từ hàng tháng: ngăn nắp, gọn gàng, khoa học;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/eeb2ea1214ec95fcd7874f83c0de58b1_3045952_vieclam24h_1591150839.png
Kế Toán Trưởng;18 - 25 triệu;27/02/2024;Công việc liên quan đến phần hành kế toán: - Lên các kế hoạch công việc chi tiết và tổ chức thực hiện các nhiệm vụ của bộ phận kế toán. - Tổ chức soạn thảo và đề xuất ban hành các quy chế quản lý tài chính, quản lý chi tiêu nội bộ. - Xây dựng các quy trình, biểu mẫu chuyên môn nghiệp vụ, quy trình hạch toán kế toán, thanh quyết toán... - Quản lý hệ thống kế toán, sổ sách kế toán, hóa đơn, chứng từ theo đúng quy định của pháp luật. - Xây dựng hệ thống thông tin kế toán và báo cáo kế toán quản trị phục vụ cho việc lập kế hoạch kinh doanh, lập ngân sách hàng năm và các yêu cầu quản trị khác. - Tổng hợp thông tin, số liệu và lập báo cáo tình hình thực hiện kế hoạch tài chính trình Ban lãnh đạo Công ty, tham mưu các biện pháp tối ưu hóa hiệu quả sử dụng vốn, cân đối nguồn vốn phù hợp với yêu cầu sản xuất kinh doanh. - Lập tờ khai thuế GTGT, thuế TNCN, thuế TNDN, báo cáo tài chính theo qui định của Luật thuế. - Đánh giá, nghiên cứu và đề xuất các chiến lược, giải pháp về thuế tối ưu cho Công ty. - Cung cấp hồ sơ và làm việc với Ngân hàng về các hồ sơ bảo lãnh, đấu thầu, tín dụng của công ty. - Cung cấp hồ sơ, số liệu và giải trình cho cơ quan thuế, kiểm toán, thanh tra kiểm tra theo yêu cầu. - Quản lý, kiểm soát để đảm bảo yêu cầu về bảo mật thông tin kinh tế – tài chính của Công ty.;https://cdn1.vieclam24h.vn/tvn/asset/home/img/employer/5d0ca9d858ea9_1561111000.jpg
Nhân Viên Kế Toán Nội Thất;8 - 12 triệu;04/03/2024;Làm bảo hiểm xã hội và tất cả các chế độ liên quan đến BHXH cho nhân viên Làm HĐLĐ cho nhân viên mới hoặc các nhân viên mỗi năm ký gia hạn In các phiếu đặt hàng, làm hợp đồng theo file báo giá quản lý cửa hàng gửi Có phần mềm công nghệ để gửi giấy tờ Grap về cũng như thư từ về xưởng, gửi cho đối tác và khách hàng Quản lý công nợ, làm báo cáo hàng tuần và cuối tháng Quản lý về những công việc liên quan đến Công Đoàn Phụ quản lý và lau chùi sản phẩm chung với các nhân viên khác ( 1 tuần 2 lần vào T2 và T5). Thực hiện các công việc khác được Ban lãnh đạo giao Công việc trao đổi cụ thể trong phỏng vấn. Giờ làm việc T2-T7 (8h30 - 18h00);https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/29f65089d2423e0d08330b5264feda12_1533534406_logo_thanh_nam.png
Kế Toán Trưởng;16 - 20 triệu;06/03/2024;- Chịu trách nhiệm về hoạt động của Phòng kế toán, - Phân công, hướng dẫn, đào tạo, kiểm soát và kiểm tra công việc cấp dưới. Định kỳ đánh giá kết quả KPI của cấp dưới, - Xây dựng các quy định, quy trình về quản lý tài chính, hạch toán chi phí, kiểm kê tài sản của Công ty… Tham mưu cho BGĐ xây dựng và kiện toàn hệ thống quản lý tài chính – kế toán phù hợp với các quy định của pháp luật và tình hình thực tế của Công ty - Kiểm soát các tài khoản của Công ty và thực hiện lập BCTC theo quy định, - Chỉ đạo việc thực hiện Báo cáo thuế theo quy định, - Lập báo cáo KQKD, báo cáo quản trị theo định kỳ, - Tổ chức bảo quản, lưu trữ các tài liệu kế toán, - Kiểm tra, soát xét các khoản thu/chi theo quy định nội bộ. - Rà soát, đối chiếu các khoản phải thu/ phải trả. Đốc thúc thu hồi công nợ phải thu, theo dõi các khoản nộp NSNN… - Lập kế hoạch tài chính phù hợp với chiến lược, kế hoạch hoạt động kinh doanh của Công ty, - Thiết lập quan hệ với các cơ quan liên quan như thuế, bảo hiểm, ngân hàng…;https://cdn1.vieclam24h.vn/images/old_employer_avatar/images/600f8027432bd366ad37ce97b6275383_3480455_vieclam24h_1597808442.jpeg
Quản Lý Kế Toán Thuế;25 - 30 triệu;29/02/2024;1.Thực hiện các công việc thường xuyên sau đây cho khách hàng như là một chuyên viên cấp cao: -Ghi sổ kế toán. (Hơn 90% Khách hàng là Doanh nghiệp FDI) -Lập và gửi các tờ khai thuế hàng tháng / quý / năm (VAT, TNCN, TNDN, FCT, GDLK…) và các văn bản thuế khác cho cơ quan thuế. -Lập báo cáo quyết toán thuế, hồ sơ hoàn thuế GTGT khi có yêu cầu. -Lập báo cáo tài chính và báo cáo quản trị chính xác và kịp thời theo quy định hoặc nếu được yêu cầu. -Làm việc với cơ quan thuế khi được yêu cầu giải trình hay quyết toán thuế. -Hỗ trợ KTV Xem xét bảng tính lương hàng tháng bao gồm các tính toán về Thuế thu nhập cá nhân (TNCN). -Xác định các vấn đề / rủi ro quan trọng đối với khách hàng từ các công việc hàng ngày. Đề xuất giải pháp hoặc kịp thời nêu vấn đề lên cấp trên (quản lý). -Duy trì giao tiếp hàng ngày với khách hàng. Trả lời các câu hỏi và / hoặc tư vấn cho khách hàng về thuế và kế toán. -Các công vệc liên quan khác theo sự phân công của Công ty (nếu có). -Làm việc với kiểm toán viên độc lập trong quá trình kiểm toán (nếu có). 2. Thực hiện công việc của quản lý: -Set up hệ thống quản lý đội nhóm kế toán thuế và phân chia công việc theo doanh số hợp lý cho Kế toán viên cấp dưới. -Hướng dẫn chuyên viên thực hành công việc theo bộ quy trình. -Trực tiếp xử lý các tình huống cần thiết, các điểm mà chuyên viên chưa rõ. -Hướng dẫn và hỗ trợ xử lý các trường hợp khó. -Giám sát đảm bảo chuyên viên thực hiện đúng tiến độ, quy trình công việc, tổng hợp báo cáo của từng nhân viên để cho ra đánh giá KPI cuối kỳ và báo cáo với cấp trên.;https://cdn1.vieclam24h.vn/images/employer_avatar/2024/03/04/logo thông minh ht_170952531779.jpg
